"TIF Number","TIF District","Report Year","Tax Allocation Fund Balance","Property Tax Increment - Current","Property Tax Increment - Cumulative","Interest - Current","Interest - Cumulative","Land/Building - Current","Land/Building - Cumulative","Bond - Current","Bond - Cumulative","Note - Current","Note - Cumulative","Municipal - Current","Municipal - Cumulative","Revenue from Other Sources","Revenue from Private Sources","Private - Current","Cash Expenses","Distribution of Surplus","Transfers - Municipal","Total Expenditure","Net Income","Fund Balance","Description of Debt Obligations","Amount of Original Debt Issuance","Amount Designated - Debt Obligations","Descriptions of Project Costs to be Paid","Amount Designated - Project Costs","Surplus/Deficit"
"T-115","Chicago/Central Park","2023","$39,396,276","$10,885,616","$114,363,200","$1,371,323","$6,905,488","$0","$0","$0","$129,651,674","$0","$0","$5,543,264","$123,547,962","$3,168,157","$0","$0","$5,595,795","$0","$0","$5,595,795","$12,419,215","$51,815,491","0","$121,870,000","$5,574,418","Restricted for future redevelopment project costs","$46,241,073","$0"
"T-116","Lawrence/Pulaski","2023","$11,190,251","$2,850,655","$30,082,399","$435,151","$995,226","$0","$0","$0","$0","$0","$0","$0","$2,900,000","$0","$0","$0","$1,057,981","$0","$0","$1,057,981","$2,227,825","$13,418,076","0","$0","$0","Restricted for future redevelopment project costs","$13,418,076","$0"
"T-117","47th/Ashland","2023","$10,179,184","$4,458,588","$51,025,822","$347,570","$1,753,830","$0","$0","$0","$19,970,981","$0","$0","$0","$2,431,313","$886,381","$0","$0","$1,711,795","$0","$0","$1,711,795","$3,204,517","$13,383,701","0","$18,675,000","$1,931,376","Restricted for future redevelopment project costs","$11,452,325","$0"
"T-118","47th/King Drive","2023","$56,337,809","$13,512,211","$149,355,147","$2,172,732","$4,096,422","$0","$0","$0","$0","$0","$0","$0","$0","$1,112","$0","$0","$4,042,526","$0","$0","$4,042,526","$11,642,417","$67,980,226","0","$0","$0","Restricted for future redevelopment project costs","$67,980,226","$0"
"T-119","Lakefront","2023","$1,683,006","$595,691","$5,934,630","$62,090","$144,630","$0","$0","$0","$0","$0","$0","$0","$0","$1,025","$0","$0","$360,502","$0","$0","$360,502","$297,279","$1,980,285","0","$0","$0","Restricted for future redevelopment project costs","$1,980,285","$0"
"T-121","47th/Halsted","2023","$21,411,849","$4,352,656","$57,367,209","$870,932","$2,000,649","$0","$0","$0","$0","$0","$0","$0","$3,950,064","$150","$0","$0","$1,771,217","$0","$0","$1,771,217","$3,452,371","$24,864,220","0","$0","$0","Restricted for future redevelopment project costs","$24,864,220","$0"
"T-123","Avalon Park/South Shore","2023","$1,799,335","$810,889","$11,311,470","$66,665","$388,584","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$50,558","$0","$0","$50,558","$826,996","$2,626,331","0","$0","$0","Restricted for future redevelopment project costs","$2,626,331","$0"
"T-124","67th/Cicero","2023","$1,075,043","$644,432","$5,671,453","$42,295","$130,268","$0","$0","$0","$0","$0","$0","$0","$3,284,023","$0","$0","$0","$349,490","$0","$0","$349,490","$337,237","$1,412,280","0","$0","$0","Restricted for future redevelopment project costs","$1,412,280","$0"
"T-125","119th/I-57","2023","$10,109,689","$2,859,655","$42,419,299","$448,031","$974,641","$0","$0","$0","$0","$0","$0","$0","$950,000","$1,000,000","$0","$0","$2,644,040","$0","$0","$2,644,040","$663,646","$10,773,335","0","$0","$0","Restricted for future redevelopment project costs","$10,773,335","$0"
"T-126","Madden/Wells","2023","$6,595,039","$1,965,093","$19,862,456","$265,248","$548,352","$0","$0","$0","$0","$0","$0","$0","$1,051,820","$0","$0","$0","$1,355,593","$0","$0","$1,355,593","$874,748","$7,469,787","0","$0","$0","Restricted for future redevelopment project costs","$7,469,787","$0"
"T-127","87th/Cottage Grove","2023","$10,331,003","$1,817,159","$36,933,544","$424,732","$825,985","$0","$0","$0","$0","$0","$0","$0","$1,375,000","$0","$0","$0","$229,331","$0","$0","$229,331","$2,012,560","$12,343,563","0","$0","$0","Restricted for future redevelopment project costs","$12,343,563","$0"
"T-128","Commercial Avenue","2023","$11,546,133","$1,733,422","$27,665,989","$496,790","$1,380,069","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$204,562","$0","$0","$204,562","$2,025,650","$13,571,783","0","$0","$0","Restricted for future redevelopment project costs","$13,571,783","$0"
"T-129","Diversey/Narragansett","2023","$6,324,018","$2,982,713","$41,261,251","$233,713","$511,963","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$2,930,358","$0","$0","$2,930,358","$286,068","$6,610,086","0","$0","$0","Restricted for future redevelopment project costs","$6,610,086","$0"
"T-130","Edgewater/Ashland","2023","$3,905,123","$1,061,385","$10,998,450","$141,776","$772,843","$0","$0","$0","$0","$0","$0","$0","$1,400,000","$0","$0","$0","$36,612","$579,000","$0","$615,612","$658,759","$4,563,882","0","$0","$0","Restricted for future redevelopment project costs","$4,411,810","$152,072"
"T-131","35th/State","2023","$825,033","$3,817,078","$30,549,511","$-32,456","$207,175","$0","$0","$0","$0","$0","$0","$6,000,000","$9,500,000","$41,491","$0","$0","$3,747,051","$0","$0","$3,747,051","$6,037,571","$6,862,604","0","$0","$0","Restricted for future redevelopment project costs","$6,862,604","$0"
"T-133","83rd/Stewart","2023","$1,671,360","$1,488,865","$14,733,267","$24,124","$82,618","$0","$0","$0","$0","$0","$0","$0","$0","$64,052","$0","$0","$2,382,497","$0","$0","$2,382,497","$-869,508","$801,852","0","$0","$0","Restricted for future redevelopment project costs","$801,852","$0"
"T-134","Devon/Sheridan","2023","$5,488,115","$3,739,273","$17,990,712","$150,402","$483,541","$0","$0","$0","$0","$0","$0","$3,552,709","$12,728,430","$500,000","$0","$0","$5,456,785","$0","$0","$5,456,785","$1,985,599","$7,473,714","0","$0","$0","Restricted for future redevelopment project costs","$7,473,714","$0"
"T-135","Pratt/Ridge Industrial Park Conservation Area","2023","$4,325,807","$1,238,668","$6,556,567","$185,184","$240,708","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$10,823","$0","$0","$10,823","$1,413,029","$5,738,836","0","$0","$0","Restricted for future redevelopment project costs","$5,738,836","$0"
"T-136","47th/State","2023","$16,978,930","$2,627,332","$29,877,671","$745,199","$1,589,067","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$1,452,458","$0","$0","$1,452,458","$1,920,073","$18,899,003","0","$0","$0","Restricted for future redevelopment project costs","$18,899,003","$0"
"T-140","79th/Cicero","2023","$892,152","$820,628","$8,467,267","$26,247","$66,407","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$588,129","$0","$0","$588,129","$258,746","$1,150,898","0","$0","$0","Restricted for future redevelopment project costs","$1,150,898","$0"
"T-141","26th/King Drive","2023","$5,031,582","$935,552","$11,954,333","$194,671","$250,576","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$14,224","$0","$0","$14,224","$1,115,999","$6,147,581","0","$0","$0","Restricted for future redevelopment project costs","$6,147,581","$0"
"T-142","Western/Rock Island","2023","$5,169,335","$1,756,729","$20,248,084","$205,220","$376,172","$0","$0","$0","$0","$0","$0","$0","$6,031,115","$0","$0","$0","$1,553,717","$0","$0","$1,553,717","$408,232","$5,577,567","0","$0","$0","Restricted for future redevelopment project costs","$5,577,567","$0"
"T-143","63rd/Ashland","2023","$4,523,481","$411,319","$11,631,628","$206,428","$591,648","$0","$0","$0","$0","$0","$0","$0","$5,400,000","$5,452","$0","$0","$121,765","$0","$0","$121,765","$495,982","$5,019,463","0","$0","$0","Restricted for future redevelopment project costs","$5,019,463","$0"
"T-144","Harrison/Central","2023","$2,211,507","$1,865,718","$8,548,183","$57,181","$144,641","$0","$0","$0","$0","$0","$0","$0","$7,925,254","$1,000,000","$0","$0","$667,898","$0","$0","$667,898","$1,255,001","$3,466,508","0","$0","$0","Restricted for future redevelopment project costs","$3,466,508","$0"
"T-145","73rd/University","2023","$1,973,662","$25,173","$6,348,724","$102,156","$222,755","$0","$0","$0","$0","$0","$0","$0","$0","$2,815","$0","$0","$14,859","$0","$0","$14,859","$112,470","$2,086,132","0","$0","$0","Restricted for future redevelopment project costs","$2,086,132","$0"
"T-146","Touhy/Western","2023","$3,301,771","$1,162,394","$8,812,158","$138,244","$1,047,820","$0","$0","$0","$29,259,204","$0","$0","$887,200","$28,166,552","$717,428","$0","$0","$1,705,621","$0","$0","$1,705,621","$528,514","$3,830,285","0","$24,535,000","$465,545","Restricted for future redevelopment project costs","$3,364,740","$0"
"T-147","LaSalle Central","2023","$226,613,423","$195,636,095","$995,106,816","$7,223,886","$8,900,670","$0","$0","$0","$0","$0","$0","$0","$9,232,000","$236","$0","$0","$27,071,471","$155,071,461","$0","$182,142,932","$20,822,047","$247,435,470","0","$0","$0","Restricted for future redevelopment project costs","$151,642,028","$95,793,442"
"T-149","Stevenson Brighton","2023","$14,393,827","$9,942,460","$44,542,630","$547,221","$829,119","$0","$0","$0","$0","$0","$0","$0","$9,300,000","$0","$0","$0","$8,816,950","$0","$0","$8,816,950","$1,672,731","$16,066,558","0","$0","$0","Restricted for future redevelopment project costs","$16,066,558","$0"
"T-150","Addison South","2023","$14,807,609","$9,466,733","$63,964,306","$583,368","$1,360,098","$0","$0","$0","$0","$0","$0","$0","$0","$4,331","$0","$0","$1,520,643","$7,729,000","$0","$9,249,643","$800,458","$15,608,067","0","$0","$0","Restricted for future redevelopment project costs","$15,608,067","$0"
"T-151","Armitage/Pulaski","2023","$1,288,597","$360,376","$3,151,252","$48,616","$120,480","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$6,829","$0","$0","$6,829","$402,163","$1,690,760","0","$0","$0","Restricted for future redevelopment project costs","$1,690,760","$0"
"T-152","Little Village Industrial Corridor","2023","$3,812,022","$4,174,260","$9,641,069","$69,405","$99,083","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$972,191","$0","$0","$972,191","$3,271,474","$7,083,496","0","$0","$0","Restricted for future redevelopment project costs","$7,083,496","$0"
"T-153","Elston/Armstrong Industrial Corridor","2023","$4,634,557","$1,815,342","$9,725,868","$171,001","$210,105","$0","$0","$0","$0","$0","$0","$0","$0","$18,864","$0","$0","$73,256","$0","$0","$73,256","$1,913,087","$6,547,644","0","$0","$0","Restricted for future redevelopment project costs","$6,547,644","$0"
"T-155","79th/Vincennes","2023","$4,079,693","$176,295","$4,338,582","$187,558","$343,385","$0","$0","$0","$0","$0","$0","$0","$1,000,000","$0","$0","$0","$5,197","$0","$1,000,000","$1,005,197","$-641,344","$3,438,349","0","$0","$0","Restricted for future redevelopment project costs","$3,438,349","$0"
"T-156","Austin Commercial","2023","$7,333,098","$2,046,779","$18,398,926","$307,515","$684,171","$0","$0","$0","$0","$0","$0","$0","$3,235,000","$0","$0","$0","$1,505,763","$0","$0","$1,505,763","$848,531","$8,181,629","0","$0","$0","Restricted for future redevelopment project costs","$8,181,629","$0"
"T-157","Hollywood/Sheridan","2023","$6,926,556","$3,762,593","$13,026,272","$-60,029","$-6,883","$0","$0","$0","$0","$0","$0","$16,721,627","$78,035,558","$0","$0","$0","$17,470,110","$0","$0","$17,470,110","$2,954,081","$9,880,637","0","$0","$0","Restricted for future redevelopment project costs","$9,880,637","$0"
"T-160","Kennedy/Kimball","2023","$5,360,981","$2,372,282","$8,684,825","$187,382","$139,981","$0","$0","$0","$0","$0","$0","$0","$0","$72,767","$0","$0","$53,940","$113,000","$0","$166,940","$2,392,724","$7,753,705","0","$0","$0","Restricted for future redevelopment project costs","$7,753,705","$0"
"T-161","Ogden/Pulaski","2023","$6,029,985","$577,089","$9,222,969","$266,050","$582,267","$0","$0","$0","$800,000","$0","$0","$0","$3,485,500","$0","$0","$0","$407,474","$0","$0","$407,474","$435,665","$6,465,650","0","$0","$0","Restricted for future redevelopment project costs","$6,465,650","$0"
"T-163","Archer/Western","2023","$8,909,938","$4,187,547","$12,184,091","$298,549","$165,003","$0","$0","$0","$0","$0","$0","$0","$7,970,000","$0","$0","$0","$1,287,650","$0","$0","$1,287,650","$3,198,446","$12,108,384","0","$0","$0","Restricted for future redevelopment project costs","$12,108,384","$0"
"T-164","Little Village East","2023","$1,544,329","$749,084","$2,016,896","$53,536","$108,361","$0","$0","$0","$0","$0","$0","$0","$1,280,000","$0","$0","$0","$86,510","$0","$0","$86,510","$716,110","$2,260,439","0","$0","$0","Restricted for future redevelopment project costs","$2,260,439","$0"
"T-166","North Pullman","2023","$7,712,399","$2,606,239","$18,757,475","$271,919","$365,030","$0","$0","$0","$2,240,135","$0","$0","$0","$20,825,944","$0","$0","$0","$2,749,110","$0","$0","$2,749,110","$129,048","$7,841,447","0","$0","$0","Restricted for future redevelopment project costs","$7,841,447","$0"
"T-167","Avondale","2023","$1,700,632","$391,373","$1,920,138","$78,232","$179,847","$0","$0","$0","$0","$0","$0","$0","$2,900,000","$0","$0","$0","$68,133","$0","$0","$68,133","$401,472","$2,102,104","0","$0","$0","Restricted for future redevelopment project costs","$2,102,104","$0"
"T-169","Ewing Avenue","2023","$1,732,051","$333,824","$3,057,119","$70,876","$133,575","$0","$0","$0","$0","$0","$0","$0","$6,508,056","$0","$0","$0","$36,511","$0","$0","$36,511","$368,189","$2,100,240","0","$0","$0","Restricted for future redevelopment project costs","$2,100,240","$0"
"T-171","West Woodlawn","2023","$651,233","$17,789","$127,665","$31,577","$77,340","$0","$0","$0","$0","$0","$0","$0","$2,300,000","$0","$0","$0","$184,637","$0","$0","$184,637","$-135,271","$515,962","0","$0","$0","Restricted for future redevelopment project costs","$515,962","$0"
"T-172","Randolph/Wells","2023","$14,681,316","$16,417,010","$64,107,712","$687,147","$537,517","$0","$0","$0","$0","$0","$0","$0","$29,632,000","$205,770","$0","$0","$295,631","$18,363,012","$0","$18,658,643","$-1,554,486","$13,126,830","0","$0","$0","Restricted for future redevelopment project costs","$5,426,919","$7,699,911"
"T-173","Montrose/Clarendon","2023","$5,545,641","$1,660,230","$7,441,347","$222,514","$204,134","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$1,799,574","$0","$0","$1,799,574","$83,170","$5,628,811","0","$0","$0","Restricted for future redevelopment project costs","$5,628,811","$0"
"T-174","67th/Wentworth","2023","$1,004,907","$864","$2,467","$46,185","$88,479","$0","$0","$0","$0","$0","$0","$0","$1,175,000","$0","$0","$0","$31,496","$0","$0","$31,496","$15,553","$1,020,460","0","$0","$0","Restricted for future redevelopment project costs","$1,020,460","$0"
"T-175","51st/Lake Park","2023","$1,456,158","$1,219,125","$7,786,350","$35,073","$95,730","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$1,188,256","$0","$0","$1,188,256","$65,942","$1,522,100","0","$0","$0","Restricted for future redevelopment project costs","$1,522,100","$0"
"T-176","107th/Halsted","2023","$3,687,423","$790,424","$4,338,687","$160,296","$269,325","$0","$0","$0","$0","$0","$0","$0","$1,000,000","$0","$0","$0","$646,255","$0","$0","$646,255","$304,465","$3,991,888","0","$0","$0","Restricted for future redevelopment project costs","$3,991,888","$0"
"T-177","Foster/California","2023","$499,415","$0","$541,988","$38,481","$60,212","$0","$0","$0","$0","$0","$0","$0","$6,744,830","$0","$0","$0","$80,633","$0","$0","$80,633","$-42,152","$457,263","0","$0","$0","Restricted for future redevelopment project costs","$457,263","$0"
"T-178","Washington Park","2023","$7,012,156","$1,793,666","$9,346,024","$266,406","$267,779","$0","$0","$0","$0","$0","$0","$0","$6,650,000","$0","$0","$0","$437,261","$0","$0","$437,261","$1,622,811","$8,634,967","0","$0","$0","Restricted for future redevelopment project costs","$8,634,967","$0"
"T-179","Diversey/Chicago River","2023","$1,377,351","$7,319","$1,234,423","$59,914","$43,548","$0","$0","$0","$0","$0","$0","$0","$526,000","$0","$0","$0","$4,215","$0","$0","$4,215","$146,945","$1,524,296","0","$0","$0","Restricted for future redevelopment project costs","$1,524,296","$0"
"T-180","Red Purple Modernization Phase One (Transit TIF)","2023","$40,914,348","$76,539,343","$315,631,343","$2,198,671","$3,229,265","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$25,398,909","$0","$83,438,763","$108,837,672","$-30,099,658","$10,814,690","0","$0","$0","Restricted for future redevelopment project costs","$10,814,690","$0"
"T-181","Foster/Edens","2023","$1,244,206","$2,320,201","$6,789,147","$-7,233","$54,683","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$1,092,943","$0","$0","$1,092,943","$1,220,025","$2,464,231","0","$0","$0","Restricted for future redevelopment project costs","$2,464,231","$0"
"T-182","116th/Avenue O","2023","$1,223,371","$1,505,790","$2,832,096","$27,987","$-40,117","$0","$0","$0","$0","$0","$0","$0","$4,512,000","$0","$0","$0","$15,272","$0","$0","$15,272","$1,518,505","$2,741,876","0","$0","$0","Restricted for future redevelopment project costs","$2,741,876","$0"
"T-183","Cortland/Chicago River","2023","$74,716,996","$6,576,030","$18,970,049","$3,687,492","$987,595","$0","$0","$0","$0","$0","$0","$0","$86,412,074","$0","$0","$0","$5,094,333","$0","$0","$5,094,333","$5,169,189","$79,886,185","0","$0","$0","Restricted for future redevelopment project costs","$79,886,185","$0"
"T-184","Roosevelt/Clark","2023","$43,053,225","$1,364,716","$6,461,045","$1,219,330","$126,108","$0","$0","$0","$51,075,247","$0","$0","$24,285,714","$26,735,714","$0","$0","$0","$3,656,380","$0","$0","$3,656,380","$23,213,380","$66,266,605","0","$0","$0","Restricted for future redevelopment project costs","$66,266,605","$0"
"T-185","Cicero/Stevenson","2023","$6,272,895","$0","$0","$307,661","$-19,444","$0","$0","$0","$0","$0","$0","$0","$6,600,000","$0","$0","$0","$1,511,046","$0","$0","$1,511,046","$-1,203,385","$5,069,510","0","$0","$0","Restricted for future redevelopment project costs","$5,069,510","$0"
"T-186","Red Line Extension","2023","$0","$2,215,814","$2,215,814","$-57,718","$-57,718","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$18,900","$0","$0","$18,900","$2,139,196","$2,139,196","0","$0","$0","Restricted for future redevelopment project costs","$2,139,196","$0"
"T-001","35th/Halsted","2024","$47,625,965","$19,634,330","$162,037,668","$1,216,911","$6,900,470","$0","$0","$0","$0","$0","$0","$0","$3,243,618","$0","$0","$0","$10,907,512","$10,796,924","$1,919,400","$23,623,836","$-2,772,595","$44,853,370","0","$0","$0","Restricted for future redevelopment project costs","$40,690,476","$4,162,894"
"T-009","95th/Western","2024","$5,405,046","$2,006,607","$24,487,003","$60,571","$604,142","$0","$0","$0","$0","$0","$0","$0","$2,400,000","$2,648,627","$0","$0","$164,655","$0","$0","$164,655","$1,902,523","$7,307,569","0","$0","$0","Restricted for future redevelopment project costs","$7,203,450","$104,119"
"T-013","Bryn Mawr/Broadway","2024","$5,661,023","$4,032,466","$47,281,944","$380,540","$1,333,971","$0","$0","$0","$0","$0","$0","$0","$83,742,548","$1,800,389","$0","$0","$358,258","$0","$0","$358,258","$4,054,748","$9,715,771","0","$0","$0","Restricted for future redevelopment project costs","$7,868,817","$1,846,954"
"T-021","Englewood Mall","2024","$7,048,635","$1,040,000","$14,855,448","$1,627","$1,567,403","$0","$0","$0","$0","$0","$0","$5,400,000","$12,945,883","$3,688","$0","$0","$4,055,802","$0","$0","$4,055,802","$2,385,825","$9,434,460","0","$0","$0","Restricted for future redevelopment project costs","$9,434,460","$0"
"T-023","Goose Island","2024","$42,043,980","$8,664,956","$112,794,164","$690,152","$3,387,103","$0","$0","$0","$16,800,000","$0","$0","$0","$31,000,000","$0","$0","$0","$1,010,855","$4,229,158","$0","$5,240,013","$4,115,095","$46,159,075","0","$0","$0","Restricted for future redevelopment project costs","$33,823,920","$12,335,155"
"T-024","Homan/Arthington","2024","$4,576,100","$831,246","$14,063,564","$67,936","$637,236","$0","$0","$0","$0","$0","$0","$0","$1,062,798","$0","$0","$0","$13,695","$0","$0","$13,695","$885,487","$5,461,587","0","$0","$0","Restricted for future redevelopment project costs","$5,461,587","$0"
"T-029","Michigan/Cermak","2024","$6,297,870","$4,449,956","$38,876,809","$-330,794","$1,006,786","$0","$0","$0","$0","$0","$0","$0","$13,810,000","$548,020","$0","$0","$1,632","$0","$0","$1,632","$4,117,530","$10,415,400","0","$0","$0","Restricted for future redevelopment project costs","$10,415,400","$0"
"T-030","Near North","2024","$169,231,626","$43,917,557","$520,349,813","$2,177,569","$13,966,527","$0","$0","$0","$55,000,000","$0","$0","$0","$3,546,644","$331,143","$0","$0","$1,445,373","$0","$0","$1,445,373","$44,649,753","$213,881,379","0","$0","$0","Restricted for future redevelopment project costs","$198,613,037","$15,268,342"
"T-038","Roosevelt/Cicero Industrial Corridor","2024","$36,147,658","$8,408,666","$74,964,298","$631,464","$2,428,083","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$1,019,705","$6,939,725","$0","$7,959,430","$1,080,700","$37,228,358","0","$0","$0","Restricted for future redevelopment project costs","$36,511,845","$716,513"
"T-042","Sanitary and Ship Canal","2024","$4,488,601","$1,934,113","$25,233,242","$-1,281,080","$-880,274","$0","$0","$0","$5,530,000","$0","$0","$0","$0","$0","$0","$0","$1,329,981","$0","$0","$1,329,981","$-676,948","$3,811,653","0","$0","$0","Restricted for future redevelopment project costs","$3,770,867","$40,786"
"T-045","Stockyards Southeast Quadrant Industrial","2024","$6,322,317","$4,042,759","$56,881,748","$57,723","$2,140,664","$0","$0","$0","$30,400,000","$0","$0","$0","$3,675,608","$94,635","$0","$0","$1,800,145","$1,424,040","$0","$3,224,185","$876,297","$7,198,614","0","$0","$0","Restricted for future redevelopment project costs","$6,236,019","$962,595"
"T-048","Western/Ogden","2024","$65,059,470","$16,531,033","$188,389,167","$1,464,048","$5,110,942","$0","$0","$0","$0","$0","$0","$0","$0","$443,508","$0","$0","$753,394","$0","$17,000,000","$17,753,394","$241,687","$65,301,157","0","$0","$0","Restricted for future redevelopment project costs","$48,641,701","$16,659,456"
"T-052","Kinzie Industrial Corridor","2024","$293,029,705","$171,547,404","$904,281,435","$6,921,628","$23,440,113","$0","$0","$0","$0","$0","$0","$0","$0","$1,136,624","$0","$0","$64,622,057","$103,246,014","$18,986,568","$186,854,639","$-8,385,607","$284,644,098","0","$0","$0","Restricted for future redevelopment project costs","$151,037,724","$133,606,374"
"T-053","Pilsen Industrial Corridor","2024","$105,329,624","$39,673,691","$338,796,274","$1,052,987","$12,385,296","$0","$983,239","$0","$84,922,130","$0","$0","$0","$0","$2,354","$0","$0","$2,976,125","$0","$0","$2,976,125","$37,750,553","$143,080,177","0","$0","$0","Restricted for future redevelopment project costs","$141,737,325","$1,342,852"
"T-054","Stony Island Commercial/Burnside Industrial","2024","$13,407,850","$4,730,179","$68,633,655","$118,467","$1,402,262","$0","$0","$0","$0","$0","$0","$0","$0","$1,000,000","$0","$0","$4,165,412","$0","$0","$4,165,412","$683,234","$14,091,084","0","$0","$0","Restricted for future redevelopment project costs","$14,091,084","$0"
"T-055","43rd/Cottage Grove","2024","$19,050,778","$5,669,820","$64,871,256","$242,988","$1,943,603","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$2,378,076","$0","$0","$2,378,076","$3,534,732","$22,585,510","0","$0","$0","Restricted for future redevelopment project costs","$13,617,254","$8,968,256"
"T-056","79th Street Corridor","2024","$12,814,633","$1,445,457","$19,673,360","$407,554","$1,307,235","$0","$0","$0","$0","$0","$0","$2,500,000","$5,500,000","$10,964","$0","$0","$10,171,770","$0","$0","$10,171,770","$-5,818,759","$6,995,874","0","$0","$0","Restricted for future redevelopment project costs","$6,995,874","$0"
"T-060","71st/Stony Island","2024","$16,100,192","$4,926,779","$70,630,169","$79,065","$8,542,206","$0","$301","$0","$64,765,895","$0","$0","$0","$67,288,397","$0","$0","$0","$681,672","$0","$0","$681,672","$4,324,172","$20,424,364","0","$0","$0","Restricted for future redevelopment project costs","$20,118,763","$305,601"
"T-061","Bronzeville","2024","$43,327,058","$7,756,327","$95,218,426","$723,529","$4,546,796","$0","$0","$0","$0","$0","$0","$0","$10,400,000","$1,000,000","$0","$0","$3,036,850","$0","$0","$3,036,850","$5,443,006","$48,770,064","0","$0","$0","Restricted for future redevelopment project costs","$34,191,672","$14,578,392"
"T-062","Roosevelt/Racine","2024","$8,987,414","$4,754,656","$38,987,565","$-175,857","$676,281","$0","$0","$0","$0","$0","$0","$17,000,000","$32,350,000","$12,213","$0","$0","$9,709,637","$0","$0","$9,709,637","$11,869,162","$20,856,576","0","$0","$0","Restricted for future redevelopment project costs","$16,890,669","$3,965,907"
"T-063","Canal/Congress","2024","$113,710,359","$72,655,780","$600,088,149","$1,667,182","$10,375,475","$0","$0","$0","$0","$0","$0","$0","$10,966,931","$468,653","$0","$0","$37,833,188","$0","$0","$37,833,188","$36,489,774","$150,200,133","0","$0","$0","Restricted for future redevelopment project costs","$118,924,897","$31,275,236"
"T-064","Northwest Industrial Corridor","2024","$67,630,193","$18,538,917","$176,779,589","$870,511","$4,171,939","$0","$0","$0","$8,231,438","$0","$0","$0","$521,583","$25,000","$0","$0","$2,181,795","$0","$0","$2,181,795","$17,227,633","$84,857,826","0","$0","$0","Restricted for future redevelopment project costs","$67,754,581","$17,103,245"
"T-065","Woodlawn","2024","$26,031,743","$6,368,135","$71,634,523","$474,166","$2,507,405","$0","$0","$0","$0","$0","$0","$0","$0","$1,000,000","$0","$0","$1,325,125","$0","$2,800,000","$4,125,125","$2,717,176","$28,748,919","0","$0","$0","Restricted for future redevelopment project costs","$22,335,885","$6,413,034"
"T-066","Greater Southwest Industrial (East)","2024","$5,300,875","$1,594,248","$20,700,853","$131,517","$598,612","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$24,111","$2,848,424","$0","$2,872,535","$-1,146,770","$4,154,105","0","$0","$0","Restricted for future redevelopment project costs","$4,154,105","$0"
"T-069","Pulaski Industrial Corridor","2024","$43,988,554","$10,793,709","$96,430,408","$689,250","$2,563,633","$0","$380,000","$0","$0","$0","$0","$0","$3,000,000","$1,707,971","$0","$0","$2,579,299","$1,314,200","$0","$3,893,499","$7,589,460","$51,578,014","0","$0","$0","Restricted for future redevelopment project costs","$51,462,531","$115,483"
"T-070","Clark/Montrose","2024","$19,969,599","$6,275,243","$65,792,220","$512,083","$1,837,068","$0","$0","$0","$0","$0","$0","$0","$2,000,000","$1,265,682","$0","$0","$402,678","$10,966,192","$0","$11,368,870","$-4,581,544","$15,388,055","0","$0","$0","Restricted for future redevelopment project costs","$9,743,296","$5,644,759"
"T-071","Galewood/Armitage Industrial","2024","$12,382,911","$6,384,720","$71,089,184","$105,528","$2,677,014","$0","$0","$0","$37,992,034","$0","$0","$0","$26,197,449","$858,980","$0","$0","$755,242","$379,076","$0","$1,134,318","$5,361,159","$17,744,070","0","$0","$0","Restricted for future redevelopment project costs","$14,964,420","$2,779,650"
"T-072","24th/Michigan","2024","$24,886,731","$6,192,838","$50,292,149","$377,114","$3,742,247","$0","$0","$0","$0","$0","$0","$0","$153,861,677","$16,760","$0","$0","$1,944,393","$987,285","$0","$2,931,678","$3,638,274","$28,525,005","0","$0","$0","Restricted for future redevelopment project costs","$20,184,385","$8,340,620"
"T-073","111th/Kedzie","2024","$3,424,272","$1,217,573","$14,957,958","$90,252","$300,679","$0","$0","$0","$0","$0","$0","$0","$0","$511,979","$0","$0","$1,024,372","$190,287","$0","$1,214,659","$93,166","$3,517,438","0","$0","$0","Restricted for future redevelopment project costs","$3,440,003","$77,435"
"T-075","Madison/Austin Corridor","2024","$18,434,283","$4,596,296","$49,460,492","$132,748","$3,352,400","$0","$0","$0","$49,797,777","$0","$0","$2,040,000","$66,727,897","$865,000","$0","$0","$2,664,676","$0","$0","$2,664,676","$4,104,368","$22,538,651","0","$0","$0","Restricted for future redevelopment project costs","$22,538,651","$0"
