"TIF Number","TIF District","Report Year","Tax Allocation Fund Balance","Property Tax Increment - Current","Property Tax Increment - Cumulative","Interest - Current","Interest - Cumulative","Land/Building - Current","Land/Building - Cumulative","Bond - Current","Bond - Cumulative","Note - Current","Note - Cumulative","Municipal - Current","Municipal - Cumulative","Revenue from Other Sources","Revenue from Private Sources","Private - Current","Cash Expenses","Distribution of Surplus","Transfers - Municipal","Total Expenditure","Net Income","Fund Balance","Description of Debt Obligations","Amount of Original Debt Issuance","Amount Designated - Debt Obligations","Descriptions of Project Costs to be Paid","Amount Designated - Project Costs","Surplus/Deficit"
"T-075","Madison/Austin Corridor","2017","$9,709,698","$1,709,122","$25,219,216","$211,771","$2,552,947","$0","$0","$0","$49,797,777","$0","$865,000","$4,492,816","$45,617,897","$0","$0","$0","$5,750,563","$0","$288,000","$6,038,563","$375,146","$10,084,844","Restricted for debt service","$46,515,000","$5,563,224","Restricted for future redevelopment project costs","$4,521,620","$0"
"T-076","Devon/Western","2017","$1,498,777","$2,108,900","$34,178,517","$43,024","$489,549","$0","$0","$0","$0","$0","$0","$2,090,000","$3,340,000","$0","$0","$0","$2,357,256","$0","$1,940,921","$4,298,177","$-56,253","$1,442,524",,"$0","$0","Restricted for future redevelopment project costs","$1,442,524","$0"
"T-077","Lincoln Avenue","2017","$8,715,967","$2,500,198","$37,986,940","$162,045","$3,511,917","$0","$0","$0","$29,841,980","$0","$0","$831,349","$11,842,064","$0","$0","$0","$3,503,022","$0","$2,090,000","$5,593,022","$-2,099,430","$6,616,537","Restricted for debt service","$28,310,000","$2,946,247","Restricted for future redevelopment project costs","$3,670,290","$0"
"T-078","South Works Industrial","2017","$1,183,855","$51,664","$1,461,963","$17,959","$49,049","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$3,465","$2,800","$0","$6,265","$63,358","$1,247,213",,"$0","$0","Restricted for future redevelopment project costs","$1,247,213","$0"
"T-079","35th/Wallace","2017","$5,642,639","$1,016,747","$8,230,658","$79,801","$151,532","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$21,017","$57,800","$0","$78,817","$1,017,731","$6,660,370",,"$0","$0","Restricted for future redevelopment project costs","$5,800,170","$860,200"
"T-081","Belmont/Central","2017","$9,947,252","$2,450,221","$38,903,025","$159,242","$683,599","$0","$0","$0","$0","$0","$805,000","$938","$938","$0","$0","$0","$553,614","$0","$1,972,045","$2,525,659","$84,742","$10,031,994",,"$0","$0","Restricted for future redevelopment project costs","$10,031,994","$0"
"T-082","Belmont/Cicero","2017","$4,681,257","$913,679","$15,659,905","$84,474","$270,759","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$2,460,639","$302,000","$0","$2,762,639","$-1,764,486","$2,916,771",,"$0","$0","Restricted for future redevelopment project costs","$2,644,171","$272,600"
"T-083","West Irving Park","2017","$4,598,342","$808,878","$13,247,405","$78,861","$413,170","$0","$0","$0","$0","$0","$0","$0","$2,000,000","$0","$0","$0","$661,872","$830,000","$0","$1,491,872","$-602,015","$3,996,327",,"$0","$0","Restricted for future redevelopment project costs","$3,274,527","$721,800"
"T-084","Western Avenue North","2017","$13,175,941","$7,111,942","$68,467,779","$253,147","$955,673","$0","$0","$0","$0","$0","$1,000,000","$0","$2,000,000","$0","$0","$0","$7,062,751","$0","$1,758,015","$8,820,766","$-1,455,677","$11,720,264",,"$0","$0","Restricted for future redevelopment project costs","$11,720,264","$0"
"T-085","Western Avenue South","2017","$20,474,400","$7,179,132","$81,892,646","$329,327","$1,118,232","$0","$0","$0","$0","$0","$3,000,000","$0","$0","$0","$0","$0","$4,248,491","$3,945,200","$0","$8,193,691","$-685,232","$19,789,168",,"$0","$0","Restricted for future redevelopment project costs","$15,700,568","$4,088,600"
"T-086","Central West","2017","$67,932,470","$21,193,430","$193,897,405","$1,090,989","$5,430,687","$0","$563,393","$0","$32,332,846","$0","$0","$0","$70,617,714","$0","$0","$0","$21,260,487","$0","$0","$21,260,487","$1,023,932","$68,956,402","Restricted for debt service","$30,765,000","$0","Restricted for future redevelopment project costs","$53,569,802","$15,386,600"
"T-087","Fullerton/Milwaukee","2017","$17,280,319","$7,060,952","$83,621,300","$232,246","$2,346,823","$0","$0","$0","$35,769,001","$0","$700,000","$0","$52,044","$0","$0","$0","$9,973,789","$0","$0","$9,973,789","$-2,561,476","$14,718,843","Restricted for debt service","$8,735,000","$2,659,064","Restricted for future redevelopment project costs","$12,059,779","$0"
"T-088","Lawrence/Kedzie","2017","$15,756,146","$6,490,963","$91,116,205","$273,023","$2,683,807","$0","$0","$0","$41,800,294","$0","$1,000,000","$0","$2,500,000","$0","$0","$0","$13,402,130","$0","$0","$13,402,130","$-6,638,144","$9,118,002","Restricted for debt service","$39,580,000","$3,950,839","Restricted for future redevelopment project costs","$5,167,163","$0"
"T-089","Midway Industrial Corridor","2017","$4,515,726","$10,291,977","$31,158,847","$-20,827","$250,209","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$452,626","$0","$1,156,208","$1,608,834","$8,662,316","$13,178,042",,"$0","$0","Restricted for future redevelopment project costs","$13,178,042","$0"
"T-090","Peterson/Cicero","2017","$2,590,759","$471,894","$4,658,587","$38,129","$61,892","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$120,744","$195,000","$0","$315,744","$194,279","$2,785,038",,"$0","$0","Restricted for future redevelopment project costs","$1,953,538","$831,500"
"T-091","Peterson/Pulaski","2017","$5,830,961","$1,107,221","$12,295,158","$116,643","$303,690","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$20,409","$697,000","$0","$717,409","$1,142,840","$6,973,801",,"$0","$0","Restricted for future redevelopment project costs","$5,414,601","$1,559,200"
"T-092","Greater Southwest Industrial (West)","2017","$3,902,299","$152,691","$12,368,371","$58,921","$398,322","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$55,525","$134,000","$0","$189,525","$22,087","$3,924,386",,"$0","$0","Restricted for future redevelopment project costs","$3,913,586","$10,800"
"T-093","South Chicago","2017","$6,313,933","$1,173,058","$15,787,467","$84,156","$287,628","$0","$0","$0","$0","$0","$1,200,000","$0","$0","$0","$0","$0","$475,938","$167,000","$0","$642,938","$614,276","$6,928,209",,"$0","$0","Restricted for future redevelopment project costs","$6,698,709","$229,500"
